Age,Feed Intake,Weight NA,Weight,CFI
67,1.222,23,23,1.222
68,1.309,NA,23,2.531
69,1.46,NA,23,2.682
70,1.697,NA,23,2.919
71,1.839,NA,23,3.061
72,2.214,NA,23,3.436
73,2.11,NA,23,3.332
74,2.407,26,26,3.629
75,2.047,NA,26,3.269
76,2.218,NA,26,3.44
77,2.016,NA,26,3.238
78,2.387,NA,26,3.609
79,2.466,NA,26,3.688
80,2.146,NA,26,3.368
81,2.446,32,32,3.668
82,2.124,NA,32,3.346
83,2.305,NA,32,3.527
84,1.961,NA,32,3.183
85,1.903,NA,32,3.125
86,2.343,NA,32,3.565
87,2.338,NA,32,3.56
88,2.567,36,36,3.789
89,2.492,NA,36,3.714
90,2.876,NA,36,4.098
91,2.998,NA,36,4.22
92,3.054,NA,36,4.276
93,2.478,NA,36,3.7
94,2.894,NA,36,4.116
95,2.312,NA,36,3.534
96,2.263,NA,36,3.485
97,2.428,NA,36,3.65
98,1.634,NA,36,2.856
99,2.35,NA,36,3.572
100,1.687,NA,36,2.909
101,2.284,NA,36,3.506
102,2.722,42,42,3.944
103,2.126,NA,42,3.348
104,2.128,NA,42,3.35
105,1.643,NA,42,2.865
106,1.671,NA,42,2.893
107,1.693,NA,42,2.915
108,2.174,NA,42,3.396
109,1.136,48,48,2.358
110,1.047,NA,48,2.269
111,0.762,NA,48,1.984
112,0.729,NA,48,1.951
113,1.87,NA,48,3.092
114,1.912,NA,48,3.134
115,2.008,NA,48,3.23
116,1.323,53,53,2.545
117,1.786,NA,53,3.008
118,2.9,NA,53,4.122
119,1.687,NA,53,2.909
120,1.23,NA,53,2.452
121,2.302,NA,53,3.524
122,1.759,NA,53,2.981
123,2.354,58,58,3.576
124,2.385,NA,58,3.607
125,2.203,NA,58,3.425
126,2.53,NA,58,3.752
127,1.873,NA,58,3.095
128,1.013,NA,58,2.235
129,2.425,NA,58,3.647
130,2.596,NA,58,3.818
131,2.791,64,64,4.013
132,2.7,NA,64,3.922
133,2.468,NA,64,3.69
134,2.521,NA,64,3.743
135,2.129,NA,64,3.351
136,2.144,NA,64,3.366
137,2.403,NA,64,3.625
138,2.819,72,72,4.041
139,2.506,NA,72,3.728
140,2.692,NA,72,3.914
141,3.095,NA,72,4.317
142,2.966,NA,72,4.188
143,2.918,NA,72,4.14
144,2.396,77,77,3.618
145,3.153,NA,77,4.375
146,2.156,NA,77,3.378
147,2.049,NA,77,3.271
148,2.987,NA,77,4.209
149,2.486,NA,77,3.708
150,2.607,NA,77,3.829
151,2.95,84,84,4.172
152,2.107,NA,84,3.329
153,2.484,NA,84,3.706
154,4.011,NA,84,5.233
155,2.708,NA,84,3.93
156,2.936,NA,84,4.158
157,2.99,NA,84,4.212
158,3.705,91,91,4.927
159,2.049,NA,91,3.271
160,3.28,NA,91,4.502
161,2.041,NA,91,3.263
162,2.971,NA,91,4.193
163,2.902,NA,91,4.124
164,3.25,NA,91,4.472
165,2.725,98,98,3.947
166,3.167,NA,98,4.389
167,2.791,NA,98,4.013
168,3.922,NA,98,5.144
169,4.008,NA,98,5.23
170,2.634,NA,98,3.856
171,3.425,NA,98,4.647
172,3.115,106,106,4.337
173,3.664,NA,106,4.886
174,2.959,NA,106,4.181
175,3.222,NA,106,4.444
176,3.054,NA,106,4.276
177,1.054,NA,106,2.276
178,2.788,NA,106,4.01
179,2.857,114,114,4.079
180,4.217,NA,114,5.439
181,1.837,NA,114,3.059
182,2.505,NA,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
,,,114,3.727
209,,,114,3.727
