Age,Feed Intake,Weight NA,Weight,CFI
67,3.146,30,30,3.146
68,2.918,NA,30,6.064
69,2.921,NA,30,8.985
70,1.519,NA,30,10.504
71,2.853,NA,30,13.357
72,1.911,NA,30,15.268
73,2.31,NA,30,17.578
74,2.795,33,33,20.373
75,3.62,NA,33,23.993
76,2.057,NA,33,26.05
77,2.869,NA,33,28.919
78,2.494,NA,33,31.413
79,2.655,NA,33,34.068
80,3.164,NA,33,37.232
81,2.384,38,38,39.616
82,3.177,NA,38,42.793
83,2.479,NA,38,45.272
84,2.309,NA,38,47.581
85,3.247,NA,38,50.828
86,1.891,NA,38,52.719
87,2.083,NA,38,54.802
88,0.193,NA,38,54.995
89,1.617,NA,38,56.612
90,1.91,NA,38,58.522
91,1.91,NA,38,60.432
92,1.931,NA,38,62.363
93,0.671,NA,38,63.034
94,0.228,NA,38,63.262
95,1.039,NA,38,64.301
96,1.996,NA,38,66.297
97,1.186,NA,38,67.483
98,2.908,NA,38,70.391
99,2.26,NA,38,72.651
100,2.507,NA,38,75.158
101,3.26,NA,38,78.418
102,3.204,50,50,81.622
103,3.587,NA,50,85.209
104,2.751,NA,50,87.96
105,3.291,NA,50,91.251
106,2.954,NA,50,94.205
107,3.324,NA,50,97.529
108,2.016,NA,50,99.545
109,3.015,50,50,102.56
110,3.111,NA,50,105.671
111,3.049,NA,50,108.72
112,3.164,NA,50,111.884
113,3.074,NA,50,114.958
114,2.824,NA,50,117.782
115,1.335,NA,50,119.117
116,1.156,55,55,120.273
117,0.604,NA,55,120.877
118,0.82,NA,55,121.697
119,0.904,NA,55,122.601
120,1.249,NA,55,123.85
121,1.468,NA,55,125.318
122,1.029,NA,55,126.347
123,1.366,55,55,127.713
124,1.376,NA,55,129.089
125,0.948,NA,55,130.037
126,0.856,NA,55,130.893
127,1.058,NA,55,131.951
128,0.685,NA,55,132.636
129,1.07,NA,55,133.706
130,0.507,NA,55,134.213
131,1.556,55,55,135.769
132,1.176,NA,55,136.945
133,1.879,NA,55,138.824
134,1.462,NA,55,140.286
135,1.659,NA,55,141.945
136,2.108,NA,55,144.053
137,2.388,NA,55,146.441
138,2.257,63,63,148.698
139,1.566,NA,63,150.264
140,3.275,NA,63,153.539
141,2.884,NA,63,156.423
142,1.784,NA,63,158.207
143,1.633,NA,63,159.84
144,1.959,66,66,161.799
145,2.819,NA,66,164.618
146,1.486,NA,66,166.104
147,2.921,NA,66,169.025
148,2.528,NA,66,171.553
149,2.682,NA,66,174.235
150,3.049,NA,66,177.284
151,2.135,70,70,179.419
152,2.228,NA,70,181.647
153,1.726,NA,70,183.373
154,2.623,NA,70,185.996
155,3.021,NA,70,189.017
156,2.339,NA,70,191.356
157,2.076,NA,70,193.432
158,2.773,77,77,196.205
159,2.36,NA,77,198.565
160,2.277,NA,77,200.842
161,2.614,NA,77,203.456
162,2.086,NA,77,205.542
163,2.764,NA,77,208.306
164,3.168,NA,77,211.474
165,3.005,86,86,214.479
166,2.777,NA,86,217.256
167,1.383,NA,86,218.639
168,1.779,NA,86,220.418
169,2.023,NA,86,222.441
170,0.912,NA,86,223.353
171,0.618,NA,86,223.971
172,0.667,83,83,224.638
173,1.358,NA,83,225.996
174,1.602,NA,83,227.598
175,1.546,NA,83,229.144
176,3.561,NA,83,232.705
177,0.46,NA,83,233.165
178,2.313,NA,83,235.478
179,2.481,92,92,237.959
180,2.79,NA,92,240.749
181,2.48,NA,92,243.229
182,2.302,NA,92,245.531
183,3.489,NA,92,249.02
184,3.442,NA,92,252.462
185,2.452,NA,92,254.914
186,2.715,102,102,257.629
187,3.046,NA,102,260.675
188,3.021,NA,102,263.696
189,2.672,NA,102,266.368
190,2.66,NA,102,269.028
191,2.966,NA,102,271.994
192,2.056,NA,102,274.05
193,2.779,111,111,276.829
194,1.946,NA,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
,,,111,278.775
209,,,111,278.775
