Age,Feed Intake,Weight NA,Weight,CFI
67,3.109,27,27,3.109
68,1.276,NA,27,4.385
69,1.893,NA,27,6.278
70,1.176,NA,27,7.454
71,2.458,NA,27,9.912
72,1.682,NA,27,11.594
73,1.91,NA,27,13.504
74,2.439,31,31,15.943
75,1.018,NA,31,16.961
76,2.366,NA,31,19.327
77,1.438,NA,31,20.765
78,2.41,NA,31,23.175
79,1.142,NA,31,24.317
80,1.176,NA,31,25.493
81,2.667,37,37,28.16
82,2.45,NA,37,30.61
83,1.708,NA,37,32.318
84,1.808,NA,37,34.126
85,1.377,NA,37,35.503
86,3.431,NA,37,38.934
87,2.308,NA,37,41.242
88,2.126,NA,37,43.368
89,2.827,NA,37,46.195
90,1.596,NA,37,47.791
91,3.411,NA,37,51.202
92,2.393,NA,37,53.595
93,2.733,NA,37,56.328
94,2.645,NA,37,58.973
95,2.413,NA,37,61.386
96,3.031,NA,37,64.417
97,1.37,NA,37,65.787
98,2.406,NA,37,68.193
99,1.75,NA,37,69.943
100,2.194,NA,37,72.137
101,1.965,NA,37,74.102
102,3.239,57,57,77.341
103,2.552,NA,57,79.893
104,2.782,NA,57,82.675
105,2.061,NA,57,84.736
106,2.368,NA,57,87.104
107,1.682,NA,57,88.786
108,2.599,NA,57,91.385
109,2.269,60,60,93.654
110,1.445,NA,60,95.099
111,2.363,NA,60,97.462
112,3.042,NA,60,100.504
113,2.204,NA,60,102.708
114,2.216,NA,60,104.924
115,1.059,NA,60,105.983
116,0.898,63,63,106.881
117,1.071,NA,63,107.952
118,1.638,NA,63,109.59
119,1.943,NA,63,111.533
120,2.4,NA,63,113.933
121,2.351,NA,63,116.284
122,2.942,NA,63,119.226
123,2.693,67,67,121.919
124,2.915,NA,67,124.834
125,2.741,NA,67,127.575
126,2.845,NA,67,130.42
127,2.997,NA,67,133.417
128,3.011,NA,67,136.428
129,3.232,NA,67,139.66
130,3.012,NA,67,142.672
131,2.88,79,79,145.552
132,3.113,NA,79,148.665
133,3.126,NA,79,151.791
134,2.609,NA,79,154.4
135,2.68,NA,79,157.08
136,2.503,NA,79,159.583
137,2.993,NA,79,162.576
138,2.465,87,87,165.041
139,1.505,NA,87,166.546
140,2.129,NA,87,168.675
141,2.507,NA,87,171.182
142,1.942,NA,87,173.124
143,2.291,NA,87,175.415
144,2.146,89,89,177.561
145,2.781,NA,89,180.342
146,3.051,NA,89,183.393
147,2.584,NA,89,185.977
148,3.334,NA,89,189.311
149,2.378,NA,89,191.689
150,3.034,NA,89,194.723
151,2.108,97,97,196.831
152,2.626,NA,97,199.457
153,2.659,NA,97,202.116
154,1.313,NA,97,203.429
155,2.669,NA,97,206.098
156,3.146,NA,97,209.244
157,2.924,NA,97,212.168
158,3.496,106,106,215.664
159,3.612,NA,106,219.276
160,3.107,NA,106,222.383
161,3.005,NA,106,225.388
162,3.374,NA,106,228.762
163,2.921,NA,106,231.683
164,3.556,NA,106,235.239
165,2.909,116,116,238.148
166,3.059,NA,116,241.207
167,3.135,NA,116,244.342
168,3.012,NA,116,247.354
169,3.498,NA,116,250.852
170,2.888,NA,116,253.74
171,2.853,NA,116,256.593
172,1.891,125,125,258.484
173,3.759,NA,125,262.243
174,3.249,NA,125,265.492
175,3.037,NA,125,268.529
176,2.577,NA,125,271.106
177,1.336,NA,125,272.442
178,2.869,NA,125,275.311
179,2.618,130,130,277.929
180,2.528,NA,130,280.457
181,3.468,NA,130,283.925
182,2.355,NA,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
,,,130,286.28
209,,,130,286.28
