Age ,Feed Intake,Weight NA,Weight,CFI
67,1.909,19,19,1.909
68,1.076,NA,19,2.985
69,1.125,NA,19,4.11
70,1.865,NA,19,5.975
71,1.868,NA,19,7.843
72,1.648,NA,19,9.491
73,1.905,NA,19,11.396
74,1.096,22,22,12.492
75,1.862,NA,22,14.354
76,1.924,NA,22,16.278
77,2.409,NA,22,18.687
78,2.54,NA,22,21.227
79,2.301,NA,22,23.528
80,2.063,NA,22,25.591
81,2.173,28,28,27.764
82,2.252,NA,28,30.016
83,2.4,NA,28,32.416
84,1.976,NA,28,34.392
85,2.216,NA,28,36.608
86,2.447,NA,28,39.055
87,2.42,NA,28,41.475
88,1.916,34,34,43.391
89,2.372,NA,34,45.763
90,1.974,NA,34,47.737
91,2.955,NA,34,50.692
92,2.183,NA,34,52.875
93,1.929,NA,34,54.804
94,2.005,NA,34,56.809
95,2.531,39,39,59.34
96,2.287,NA,39,61.627
97,2.323,NA,39,63.95
98,1.827,NA,39,65.777
99,1.815,NA,39,67.592
100,2.592,NA,39,70.184
101,2.001,NA,39,72.185
102,2.735,43,43,74.92
103,1.845,NA,43,76.765
104,2.394,NA,43,79.159
105,2.306,NA,43,81.465
106,2.777,NA,43,84.242
107,2.919,NA,43,87.161
108,2.002,NA,43,89.163
109,2.728,45,45,91.891
110,2.817,NA,45,94.708
111,2.505,NA,45,97.213
112,2.81,NA,45,100.023
113,2.603,NA,45,102.626
114,2.19,NA,45,104.816
115,2.687,NA,45,107.503
116,1.966,51,51,109.469
117,2.003,NA,51,111.472
118,2.454,NA,51,113.926
119,0.906,NA,51,114.832
120,1.573,NA,51,116.405
121,1.995,NA,51,118.4
122,1.985,NA,51,120.385
123,2.18,58,58,122.565
124,1.699,NA,58,124.264
125,1.968,NA,58,126.232
126,3.072,NA,58,129.304
127,2.081,NA,58,131.385
128,1.664,NA,58,133.049
129,1.587,NA,58,134.636
130,1.404,NA,58,136.04
131,2.011,61,61,138.051
132,1.775,NA,61,139.826
133,1.395,NA,61,141.221
134,2.377,NA,61,143.598
135,1.896,NA,61,145.494
136,2.707,NA,61,148.201
137,2.081,NA,61,150.282
138,2.011,68,68,152.293
139,1.666,NA,68,153.959
140,2.266,NA,68,156.225
141,1.328,NA,68,157.553
142,1.715,NA,68,159.268
143,2.087,NA,68,161.355
144,2.491,72,72,163.846
145,1.158,NA,72,165.004
146,2.067,NA,72,167.071
147,2.182,NA,72,169.253
148,2.051,NA,72,171.304
149,1.591,NA,72,172.895
150,1.945,NA,72,174.84
151,1.769,77,77,176.609
152,1.931,NA,77,178.54
153,1.428,NA,77,179.968
154,1.835,NA,77,181.803
155,0.208,NA,77,182.011
156,0.658,NA,77,182.669
157,1.239,NA,77,183.908
158,1.336,79,79,185.244
159,1.935,NA,79,187.179
160,1.942,NA,79,189.121
161,2.029,NA,79,191.15
162,1.332,NA,79,192.482
163,2.523,NA,79,195.005
164,1.514,NA,79,196.519
165,2.95,86,86,199.469
166,1.957,NA,86,201.426
167,2.474,NA,86,203.9
168,2.615,NA,86,206.515
169,2.442,NA,86,208.957
170,2.512,NA,86,211.469
171,2.471,NA,86,213.94
172,3.07,92,92,217.01
173,1.427,NA,92,218.437
174,3.687,NA,92,222.124
175,2.507,NA,92,224.631
176,2.707,NA,92,227.338
177,2.144,NA,92,229.482
178,1.968,NA,92,231.45
179,2.187,98,98,233.637
180,3.656,NA,98,237.293
181,2.329,NA,98,239.622
182,2.032,NA,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
,,,98,241.654
209,,,98,241.654
