Age,Feed Intake,Weight NA,Weight,CFI
66,1.03,22,22,1.03
67,1.348,NA,22,2.378
68,1.885,NA,22,4.263
69,1.584,NA,22,5.847
70,1.833,NA,22,7.68
71,1.391,NA,22,9.071
72,1.036,NA,22,10.107
73,1.47,26,26,11.577
74,1.565,NA,26,13.142
75,1.846,NA,26,14.988
76,1.427,NA,26,16.415
77,1.759,NA,26,18.174
78,1.329,NA,26,19.503
79,1.715,NA,26,21.218
80,1.656,33,33,22.874
81,1.442,NA,33,24.316
82,1.694,NA,33,26.01
83,1.505,NA,33,27.515
84,1.898,NA,33,29.413
85,1.917,NA,33,31.33
86,1.644,NA,33,32.974
87,1.979,38,38,34.953
88,1.658,NA,38,36.611
89,1.869,NA,38,38.48
90,1.551,NA,38,40.031
91,2.21,NA,38,42.241
92,1.916,NA,38,44.157
93,2.291,NA,38,46.448
94,2.474,44,44,48.922
95,2.066,NA,44,50.988
96,2.486,NA,44,53.474
97,2.292,NA,44,55.766
98,2.444,NA,44,58.21
99,2.596,NA,44,60.806
100,2.136,NA,44,62.942
101,2.958,49,49,65.9
102,2.454,NA,49,68.354
103,2.261,NA,49,70.615
104,2.399,NA,49,73.014
105,2.455,NA,49,75.469
106,2.231,NA,49,77.7
107,2.135,NA,49,79.835
108,2.341,54,54,82.176
109,2.324,NA,54,84.5
110,2.07,NA,54,86.57
111,1.853,NA,54,88.423
112,2.203,NA,54,90.626
113,1.68,NA,54,92.306
114,2.149,NA,54,94.455
115,1.817,60,60,96.272
116,2.209,NA,60,98.481
117,2.156,NA,60,100.637
118,2.194,NA,60,102.831
119,1.889,NA,60,104.72
120,2.056,NA,60,106.776
121,1.861,NA,60,108.637
122,2.337,67,67,110.974
123,2.323,NA,67,113.297
124,2.635,NA,67,115.932
125,2.077,NA,67,118.009
126,2.726,NA,67,120.735
127,2.226,NA,67,122.961
128,2.291,NA,67,125.252
129,1.551,NA,67,126.803
130,2.583,73,73,129.386
131,2.037,NA,73,131.423
132,2.403,NA,73,133.826
133,2.792,NA,73,136.618
134,2.501,NA,73,139.119
135,2.561,NA,73,141.68
136,2.411,NA,73,144.091
137,2.24,83,83,146.331
138,3.016,NA,83,149.347
139,2.666,NA,83,152.013
140,2.953,NA,83,154.966
141,2.41,NA,83,157.376
142,2.116,NA,83,159.492
143,2.058,85,85,161.55
144,2.376,NA,85,163.926
145,1.761,NA,85,165.687
146,2.934,NA,85,168.621
147,2.523,NA,85,171.144
148,2.168,NA,85,173.312
149,2.488,NA,85,175.8
150,1.811,92,92,177.611
151,2.551,NA,92,180.162
152,2.748,NA,92,182.91
153,2.603,NA,92,185.513
154,2.752,NA,92,188.265
155,3.404,NA,92,191.669
156,1.565,NA,92,193.234
157,2.241,96,96,195.475
158,2.018,NA,96,197.493
159,2.417,NA,96,199.91
160,2.423,NA,96,202.333
161,2.602,NA,96,204.935
162,2.559,NA,96,207.494
163,3.177,NA,96,210.671
164,2.547,106,106,213.218
165,3.091,NA,106,216.309
166,2.837,NA,106,219.146
167,3.167,NA,106,222.313
168,3.197,NA,106,225.51
169,2.387,NA,106,227.897
170,2.614,NA,106,230.511
171,2.773,112,112,233.284
172,1.415,NA,112,234.699
173,2.923,NA,112,237.622
174,2.35,NA,112,239.972
175,3.82,NA,112,243.792
176,2.681,NA,112,246.473
177,3.161,NA,112,249.634
178,2.77,120,120,252.404
179,2.265,NA,120,254.669
180,3.625,NA,120,258.294
181,2.186,NA,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
,,,120,260.48
208,,,120,260.48
