Age,Feed Intake,Weight NA,Weight,CFI
69,0.613,24,24,0.613
70,0.285,NA,24,0.898
71,0.245,NA,24,1.143
72,0.272,NA,24,1.415
73,0.352,NA,24,1.767
74,0.732,NA,24,2.499
75,0.388,NA,24,2.887
76,1.178,27,27,4.065
77,0.885,NA,27,4.95
78,1.016,NA,27,5.966
79,1.184,NA,27,7.15
80,1.096,NA,27,8.246
81,1.192,NA,27,9.438
82,1.365,NA,27,10.803
83,1.335,31,31,12.138
84,1.211,NA,31,13.349
85,1.42,NA,31,14.769
86,1.099,NA,31,15.868
87,1.394,NA,31,17.262
88,1.267,NA,31,18.529
89,1.713,NA,31,20.242
90,1.292,36,36,21.534
91,1.892,NA,36,23.426
92,1.814,NA,36,25.24
93,1.598,NA,36,26.838
94,1.625,NA,36,28.463
95,1.818,NA,36,30.281
96,1.866,NA,36,32.147
97,1.907,NA,36,34.054
98,1.91,NA,36,35.964
99,2.339,NA,36,38.303
100,2.156,NA,36,40.459
101,1.815,NA,36,42.274
102,1.726,NA,36,44
103,2.186,NA,36,46.186
104,2.043,47,47,48.229
105,2.281,NA,47,50.51
106,2.119,NA,47,52.629
107,2.334,NA,47,54.963
108,2.177,NA,47,57.14
109,2.253,NA,47,59.393
110,2.13,NA,47,61.523
111,2.169,53,53,63.692
112,2.291,NA,53,65.983
113,2.526,NA,53,68.509
114,1.952,NA,53,70.461
115,2.602,NA,53,73.063
116,2.526,NA,53,75.589
117,1.968,NA,53,77.557
118,1.172,57,57,78.729
119,1.034,NA,57,79.763
120,1.42,NA,57,81.183
121,1.916,NA,57,83.099
122,1.644,NA,57,84.743
123,1.909,NA,57,86.652
124,2.266,NA,57,88.918
125,2.445,63,63,91.363
126,2.877,NA,63,94.24
127,2.295,NA,63,96.535
128,2.674,NA,63,99.209
129,2.549,NA,63,101.758
130,2.307,NA,63,104.065
131,3.165,NA,63,107.23
132,2.746,NA,63,109.976
133,2.803,71,71,112.779
134,3.029,NA,71,115.808
135,2.822,NA,71,118.63
136,2.357,NA,71,120.987
137,2.385,NA,71,123.372
138,1.88,NA,71,125.252
139,2.795,NA,71,128.047
140,2.336,78,78,130.383
141,2.415,NA,78,132.798
142,2.642,NA,78,135.44
143,3.177,NA,78,138.617
144,2.507,NA,78,141.124
145,2.807,NA,78,143.931
146,1.929,83,83,145.86
147,3.205,NA,83,149.065
148,2.34,NA,83,151.405
149,2.546,NA,83,153.951
150,2.959,NA,83,156.91
151,1.828,NA,83,158.738
152,2.954,NA,83,161.692
153,2.544,93,93,164.236
154,3.401,NA,93,167.637
155,2.023,NA,93,169.66
156,2.607,NA,93,172.267
157,2.41,NA,93,174.677
158,1.897,NA,93,176.574
159,2.842,NA,93,179.416
160,2.646,96,96,182.062
161,3.189,NA,96,185.251
162,2.391,NA,96,187.642
163,2.259,NA,96,189.901
164,2.74,NA,96,192.641
165,2.41,NA,96,195.051
166,1.885,NA,96,196.936
167,2.601,104,104,199.537
168,3.828,NA,104,203.365
169,2.788,NA,104,206.153
170,2.46,NA,104,208.613
171,3.044,NA,104,211.657
172,3.134,NA,104,214.791
173,2.331,NA,104,217.122
174,2.894,110,110,220.016
175,2.925,NA,110,222.941
176,2.913,NA,110,225.854
177,3.574,NA,110,229.428
178,2.604,NA,110,232.032
179,1.993,NA,110,234.025
180,1.799,NA,110,235.824
181,3.044,116,116,238.868
182,3.099,NA,116,241.967
183,2.519,NA,116,244.486
184,2.668,NA,116,247.154
185,2.147,NA,116,249.301
186,3.313,NA,116,252.614
187,2.01,NA,116,254.624
188,0.923,123,123,255.547
189,1.047,NA,123,256.594
190,1.603,NA,123,258.197
191,2.765,NA,123,260.962
192,3.081,NA,123,264.043
193,2.92,NA,123,266.963
194,2.74,NA,123,269.703
195,3.052,128,128,272.755
196,2.19,NA,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
,,,128,274.945
