Age,Feed Intake,Weight NA,Weight,CFI
69,1.916,25,25,1.916
70,1.947,NA,25,3.863
71,1.337,NA,25,5.2
72,2.696,NA,25,7.896
73,1.945,NA,25,9.841
74,2.592,NA,25,12.433
75,2.56,NA,25,14.993
76,3.223,29,29,18.216
77,2.499,NA,29,20.715
78,3.411,NA,29,24.126
79,2.283,NA,29,26.409
80,3.635,NA,29,30.044
81,3.123,NA,29,33.167
82,2.93,NA,29,36.097
83,2.431,32,32,38.528
84,2.342,NA,32,40.87
85,2.566,NA,32,43.436
86,1.423,NA,32,44.859
87,3.997,NA,32,48.856
88,2.213,NA,32,51.069
89,2.678,NA,32,53.747
90,3.344,38,38,57.091
91,2.758,NA,38,59.849
92,2.024,NA,38,61.873
93,3.994,NA,38,65.867
94,3.956,NA,38,69.823
95,2.82,NA,38,72.643
96,2.373,NA,38,75.016
97,2.868,NA,38,77.884
98,3.507,NA,38,81.391
99,3.053,NA,38,84.444
100,2.166,NA,38,86.61
101,2.894,NA,38,89.504
102,1.94,NA,38,91.444
103,2.688,NA,38,94.132
104,4.628,43,43,98.76
105,3.117,NA,43,101.877
106,2.245,NA,43,104.122
107,2.16,NA,43,106.282
108,3.405,NA,43,109.687
109,2.85,NA,43,112.537
110,2.427,NA,43,114.964
111,2.629,46,46,117.593
112,2.417,NA,46,120.01
113,2.313,NA,46,122.323
114,3.591,NA,46,125.914
115,2.744,NA,46,128.658
116,2.225,NA,46,130.883
117,2.381,NA,46,133.264
118,1.587,48,48,134.851
119,1.339,NA,48,136.19
120,1.525,NA,48,137.715
121,1.772,NA,48,139.487
122,2.102,NA,48,141.589
123,2.146,NA,48,143.735
124,1.24,NA,48,144.975
125,2.683,54,54,147.658
126,1.543,NA,54,149.201
127,2.327,NA,54,151.528
128,1.866,NA,54,153.394
129,1.219,NA,54,154.613
130,2.263,NA,54,156.876
131,1.876,NA,54,158.752
132,2.149,NA,54,160.901
133,2.348,62,62,163.249
134,2.182,NA,62,165.431
135,2.194,NA,62,167.625
136,2.747,NA,62,170.372
137,1.583,NA,62,171.955
138,1.943,NA,62,173.898
139,2.661,NA,62,176.559
140,2.535,68,68,179.094
141,1.383,NA,68,180.477
142,2.541,NA,68,183.018
143,1.084,NA,68,184.102
144,2.478,NA,68,186.58
145,2.012,NA,68,188.592
146,1.632,72,72,190.224
147,2.106,NA,72,192.33
148,0.892,NA,72,193.222
149,2.528,NA,72,195.75
150,1.769,NA,72,197.519
151,1.918,NA,72,199.437
152,1.739,NA,72,201.176
153,2.086,78,78,203.262
154,1.254,NA,78,204.516
155,2.123,NA,78,206.639
156,2.791,NA,78,209.43
157,1.606,NA,78,211.036
158,3.127,NA,78,214.163
159,2.916,NA,78,217.079
160,2.758,86,86,219.837
161,2.07,NA,86,221.907
162,2.619,NA,86,224.526
163,3.03,NA,86,227.556
164,3.557,NA,86,231.113
165,2.349,NA,86,233.462
166,3.37,NA,86,236.832
167,2.728,93,93,239.56
168,2.566,NA,93,242.126
169,2.795,NA,93,244.921
170,2.597,NA,93,247.518
171,2.881,NA,93,250.399
172,3.383,NA,93,253.782
173,2.506,NA,93,256.288
174,2.932,101,101,259.22
175,2.431,NA,101,261.651
176,2.363,NA,101,264.014
177,2.117,NA,101,266.131
178,3.985,NA,101,270.116
180,1.424,NA,101,271.54
181,2.658,103,103,274.198
182,3.11,NA,103,277.308
183,2.604,NA,103,279.912
184,1.696,NA,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
,,,103,281.608
