Age,Feed Intake,Weight NA,Weight,CFI
66,2.096,19,19,2.096
67,2.182,NA,19,4.278
68,2.589,NA,19,6.867
69,2.186,NA,19,9.053
70,2.529,NA,19,11.582
71,2.399,NA,19,13.981
72,2.37,NA,19,16.351
73,2.199,20,20,18.55
74,2.64,NA,20,21.19
75,2.437,NA,20,23.627
76,1.529,NA,20,25.156
77,1.885,NA,20,27.041
78,1.438,NA,20,28.479
79,0.898,NA,20,29.377
80,0.949,23,23,30.326
81,2.281,NA,23,32.607
82,2.751,NA,23,35.358
83,2.153,NA,23,37.511
84,2.095,NA,23,39.606
85,2.557,NA,23,42.163
86,2.005,NA,23,44.168
87,1.809,28,28,45.977
88,2.621,NA,28,48.598
89,2.349,NA,28,50.947
90,2.378,NA,28,53.325
91,2.471,NA,28,55.796
92,2.281,NA,28,58.077
93,2.74,NA,28,60.817
94,2.461,33,33,63.278
95,2.813,NA,33,66.091
96,2.279,NA,33,68.37
97,2.388,NA,33,70.758
98,2.196,NA,33,72.954
99,2.291,NA,33,75.245
100,2.385,NA,33,77.63
101,2.257,39,39,79.887
102,2.345,NA,39,82.232
103,2.637,NA,39,84.869
104,2.503,NA,39,87.372
105,2.344,NA,39,89.716
106,2.188,NA,39,91.904
107,2.68,NA,39,94.584
108,2.311,43,43,96.895
109,2.169,NA,43,99.064
110,2.019,NA,43,101.083
111,2.041,NA,43,103.124
112,2.496,NA,43,105.62
113,2.695,NA,43,108.315
114,1.971,NA,43,110.286
115,2.091,48,48,112.377
116,2.134,NA,48,114.511
117,1.999,NA,48,116.51
118,1.939,NA,48,118.449
119,3.264,NA,48,121.713
120,1.891,NA,48,123.604
121,1.613,NA,48,125.217
122,2.742,54,54,127.959
123,2.127,NA,54,130.086
124,2.611,NA,54,132.697
125,2.493,NA,54,135.19
126,2.566,NA,54,137.756
127,2.76,NA,54,140.516
128,2.275,NA,54,142.791
129,1.933,NA,54,144.724
130,1.443,61,61,146.167
131,1.969,NA,61,148.136
132,3.723,NA,61,151.859
133,3.067,NA,61,154.926
134,2.146,NA,61,157.072
135,1.763,NA,61,158.835
136,1.366,NA,61,160.201
137,2.174,70,70,162.375
138,2.529,NA,70,164.904
139,2.099,NA,70,167.003
140,3.029,NA,70,170.032
141,2.376,NA,70,172.408
142,2.406,NA,70,174.814
143,1.886,73,73,176.7
144,3.112,NA,73,179.812
145,2.064,NA,73,181.876
146,3.149,NA,73,185.025
147,4,NA,73,189.025
148,2.301,NA,73,191.326
149,1.569,NA,73,192.895
150,2.132,80,80,195.027
151,2.786,NA,80,197.813
152,3.071,NA,80,200.884
153,2.981,NA,80,203.865
154,2.883,NA,80,206.748
155,3.271,NA,80,210.019
156,1.761,NA,80,211.78
157,2.634,88,88,214.414
158,3.535,NA,88,217.949
159,3.444,NA,88,221.393
160,2.286,NA,88,223.679
161,2.964,NA,88,226.643
162,3.544,NA,88,230.187
163,3.035,NA,88,233.222
164,2.965,100,100,236.187
165,3.594,NA,100,239.781
166,2.848,NA,100,242.629
167,3.575,NA,100,246.204
168,2.148,NA,100,248.352
169,3.519,NA,100,251.871
170,3.275,NA,100,255.146
171,4.199,105,105,259.345
172,2.12,NA,105,261.465
173,2.849,NA,105,264.314
174,2.76,NA,105,267.074
175,2.581,NA,105,269.655
176,2.479,NA,105,272.134
177,1.842,NA,105,273.976
178,3.009,112,112,276.985
179,3.07,NA,112,280.055
180,3.591,NA,112,283.646
181,1.81,NA,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
,,,112,285.456
208,,,112,285.456
