Age,Feed Intake,Weight NA,Weight,CFI
69,2.483,22,22,2.483
70,2.35,NA,22,4.833
71,2.504,NA,22,7.337
72,2.218,NA,22,9.555
73,1.983,NA,22,11.538
74,2.53,NA,22,14.068
75,1.485,NA,22,15.553
76,2.177,25,25,17.73
77,2.393,NA,25,20.123
78,3.045,NA,25,23.168
79,2.721,NA,25,25.889
80,2.61,NA,25,28.499
81,3.427,NA,25,31.926
82,1.888,NA,25,33.814
83,2.016,30,30,35.83
84,2.871,NA,30,38.701
85,2.362,NA,30,41.063
86,3.137,NA,30,44.2
87,2.944,NA,30,47.144
88,3.153,NA,30,50.297
89,2.425,NA,30,52.722
90,3.253,35,35,55.975
91,3.186,NA,35,59.161
92,2.21,NA,35,61.371
93,3.014,NA,35,64.385
94,3.433,NA,35,67.818
95,2.175,NA,35,69.993
96,2.625,NA,35,72.618
97,2.358,40,40,74.976
98,2.815,NA,40,77.791
99,3.513,NA,40,81.304
100,2.33,NA,40,83.634
101,2.888,NA,40,86.522
102,3.148,NA,40,89.67
103,2.509,NA,40,92.179
104,3.006,45,45,95.185
105,2.359,NA,45,97.544
106,2.505,NA,45,100.049
107,2.727,NA,45,102.776
108,3.15,NA,45,105.926
109,2.123,NA,45,108.049
110,3.612,NA,45,111.661
111,2.871,48,48,114.532
112,2.894,NA,48,117.426
113,2.636,NA,48,120.062
114,3.781,NA,48,123.843
115,2.989,NA,48,126.832
116,3.478,NA,48,130.31
117,2.864,NA,48,133.174
118,1.494,53,53,134.668
119,1.703,NA,53,136.371
120,1.974,NA,53,138.345
121,2.969,NA,53,141.314
122,1.75,NA,53,143.064
123,1.504,NA,53,144.568
124,2.265,NA,53,146.833
125,1.803,59,59,148.636
126,2.671,NA,59,151.307
127,2.305,NA,59,153.612
128,1.603,NA,59,155.215
129,1.626,NA,59,156.841
130,2.523,NA,59,159.364
131,1.831,NA,59,161.195
132,1.724,NA,59,162.919
133,1.677,65,65,164.596
134,2.242,NA,65,166.838
135,2.419,NA,65,169.257
136,1.658,NA,65,170.915
137,2.449,NA,65,173.364
138,1.7,NA,65,175.064
139,2.418,NA,65,177.482
140,2.59,73,73,180.072
141,2.251,NA,73,182.323
142,1.77,NA,73,184.093
143,2.16,NA,73,186.253
144,1.904,NA,73,188.157
145,1.541,NA,73,189.698
146,0.451,75,75,190.149
147,1.365,NA,75,191.514
148,0.797,NA,75,192.311
149,2.552,NA,75,194.863
150,3.093,NA,75,197.956
151,2.515,NA,75,200.471
152,3.161,NA,75,203.632
153,2.435,82,82,206.067
154,2.664,NA,82,208.731
155,3.146,NA,82,211.877
156,1.744,NA,82,213.621
157,3.092,NA,82,216.713
158,2.824,NA,82,219.537
159,2.64,NA,82,222.177
160,2.272,87,87,224.449
161,3.267,NA,87,227.716
162,2.672,NA,87,230.388
163,2.392,NA,87,232.78
164,2.806,NA,87,235.586
165,3.056,NA,87,238.642
166,1.833,NA,87,240.475
167,2.987,94,94,243.462
168,2.905,NA,94,246.367
169,3.396,NA,94,249.763
170,2.954,NA,94,252.717
171,1.224,NA,94,253.941
172,3.044,NA,94,256.985
173,2.999,NA,94,259.984
174,2.436,102,102,262.42
175,1.488,NA,102,263.908
176,2.826,NA,102,266.734
177,2.423,NA,102,269.157
178,3.055,NA,102,272.212
179,1.362,NA,102,273.574
180,2.202,NA,102,275.776
181,2.462,106,106,278.238
182,2.567,NA,106,280.805
183,3.424,NA,106,284.229
184,2.05,NA,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
,,,106,286.279
211,,,106,286.279
