int(self),pig_5(0).sex,pig_5(0).ID,pig_5(0).age,pig_5(0).daily_feed_intake,pig_5(0).weight,pig_5(0).cumulative_feed_intake
0,Male,5,0,0.0,20.0,0.0
0,Male,5,0,3.190805577035704,20.000000000000004,3.190805577035704
0,Male,5,1,2.0850430933109516,20.000000000000004,5.275848670346656
0,Male,5,2,1.7867508858005114,20.000000000000004,7.062599556147168
0,Male,5,3,2.221270257574198,20.000000000000004,9.283869813721367
0,Male,5,4,0.9213960485881623,20.000000000000004,10.20526586230953
0,Male,5,5,3.1823603260123092,20.000000000000004,13.387626188321839
0,Male,5,6,3.3550351927412567,20.000000000000004,16.742661381063094
0,Male,5,7,2.6975271125717137,21.280835296339802,19.440188493634807
0,Male,5,8,2.05903944263343,21.280835296339802,21.499227936268237
0,Male,5,9,1.1592673168250285,21.280835296339802,22.658495253093268
0,Male,5,10,3.3969720829329324,21.280835296339802,26.0554673360262
0,Male,5,11,3.235833597303219,21.280835296339802,29.29130093332942
0,Male,5,12,3.251524183243503,21.280835296339802,32.54282511657292
0,Male,5,13,2.261869949153947,21.280835296339802,34.80469506572687
0,Male,5,14,1.2597673953423838,22.862754359917158,36.064462461069255
0,Male,5,15,3.6080434937532746,22.862754359917158,39.672505954822526
0,Male,5,16,1.8315723185165633,22.862754359917158,41.50407827333909
0,Male,5,17,2.4607013812814937,22.862754359917158,43.964779654620585
0,Male,5,18,3.571031102032691,22.862754359917158,47.53581075665328
0,Male,5,19,2.47805735455111,22.862754359917158,50.01386811120439
0,Male,5,20,0.7365648181056228,22.862754359917158,50.75043292931001
0,Male,5,21,3.98868599364913,24.543998136075803,54.739118922959136
0,Male,5,22,2.71047085723661,24.543998136075803,57.449589780195744
0,Male,5,23,3.977454236308735,24.543998136075803,61.42704401650448
0,Male,5,24,3.311011326879815,24.543998136075803,64.7380553433843
0,Male,5,25,2.175472132342266,24.543998136075803,66.91352747572657
0,Male,5,26,0.723865873592489,24.543998136075803,67.63739334931905
0,Male,5,27,1.1211721731006168,24.543998136075803,68.75856552241967
0,Male,5,28,1.8092367013238606,26.665528940562933,70.56780222374353
0,Male,5,29,1.4468095425095615,26.665528940562933,72.01461176625308
0,Male,5,30,1.5495708272497617,26.665528940562933,73.56418259350285
0,Male,5,31,1.7248617967839799,26.665528940562933,75.28904439028683
0,Male,5,32,3.5612775534657883,26.665528940562933,78.85032194375262
0,Male,5,33,3.8256044046856377,26.665528940562933,82.67592634843825
0,Male,5,34,2.109491972107853,26.665528940562933,84.7854183205461
0,Male,5,35,1.5786144340875443,29.02862493334322,86.36403275463364
