int(self),pig_14(0).sex,pig_14(0).ID,pig_14(0).age,pig_14(0).daily_feed_intake,pig_14(0).weight,pig_14(0).cumulative_feed_intake
0,Male,14,0,0.0,20.0,0.0
0,Male,14,0,1.242931422945741,19.99999999999999,1.242931422945741
0,Male,14,1,0.7624433458159687,19.99999999999999,2.00537476876171
0,Male,14,2,2.9643791573488145,19.99999999999999,4.969753926110524
0,Male,14,3,1.383767347949528,19.99999999999999,6.353521274060052
0,Male,14,4,2.356804460899327,19.99999999999999,8.71032573495938
0,Male,14,5,2.33413055345167,19.99999999999999,11.04445628841105
0,Male,14,6,2.5811435414755173,19.99999999999999,13.625599829886568
0,Male,14,7,1.2005999773349074,21.04399042925731,14.826199807221474
0,Male,14,8,0.6210520991322549,21.04399042925731,15.44725190635373
0,Male,14,9,1.6362614286559658,21.04399042925731,17.083513335009695
0,Male,14,10,0.9845961677142514,21.04399042925731,18.068109502723946
0,Male,14,11,2.217513001435078,21.04399042925731,20.285622504159022
0,Male,14,12,2.612923174952057,21.04399042925731,22.89854567911108
0,Male,14,13,2.1332828758913562,21.04399042925731,25.031828555002438
0,Male,14,14,3.5016688964586034,22.04132483341652,28.53349745146104
0,Male,14,15,1.0270721450846712,22.04132483341652,29.56056959654571
0,Male,14,16,3.0661732812173037,22.04132483341652,32.626742877763014
0,Male,14,17,3.781010120164563,22.04132483341652,36.407752997927574
0,Male,14,18,3.903013791088133,22.04132483341652,40.31076678901571
0,Male,14,19,1.6256242285551799,22.04132483341652,41.93639101757089
0,Male,14,20,0.5799008616929242,22.04132483341652,42.51629187926382
0,Male,14,21,2.553041511055737,23.643083340289962,45.06933339031956
0,Male,14,22,0.9356834765899208,23.643083340289962,46.00501686690948
0,Male,14,23,2.445698393574687,23.643083340289962,48.450715260484166
0,Male,14,24,1.515957626762285,23.643083340289962,49.96667288724645
0,Male,14,25,1.8751120601092213,23.643083340289962,51.84178494735568
0,Male,14,26,2.7036073536297294,23.643083340289962,54.545392300985405
0,Male,14,27,2.5805355022185097,23.643083340289962,57.125927803203915
0,Male,14,28,3.8608699115365517,25.315543879742542,60.98679771474047
0,Male,14,29,3.8951246105646344,25.315543879742542,64.8819223253051
0,Male,14,30,3.4467363901297485,25.315543879742542,68.32865871543484
0,Male,14,31,3.6740438460681846,25.315543879742542,72.00270256150303
0,Male,14,32,3.525424480027895,25.315543879742542,75.52812704153092
0,Male,14,33,3.6340476756353945,25.315543879742542,79.16217471716632
0,Male,14,34,1.9225115707680966,25.315543879742542,81.08468628793442
0,Male,14,35,0.8665293237920888,28.09365290596144,81.95121561172651
0,Male,14,36,3.3193766095213264,28.09365290596144,85.27059222124784
0,Male,14,37,2.3722339972982125,28.09365290596144,87.64282621854605
0,Male,14,38,2.610108201878359,28.09365290596144,90.25293442042441
0,Male,14,39,1.250948948347701,28.09365290596144,91.50388336877211
0,Male,14,40,0.9944605761002656,28.09365290596144,92.49834394487237
0,Male,14,41,2.719585260693309,28.09365290596144,95.21792920556568
0,Male,14,42,1.6569066281282439,30.726184178512153,96.87483583369392
0,Male,14,43,3.6562294205650137,30.726184178512153,100.53106525425893
0,Male,14,44,3.5481494432705136,30.726184178512153,104.07921469752945
0,Male,14,45,3.637175535029943,30.726184178512153,107.71639023255939
0,Male,14,46,3.6014089808234226,30.726184178512153,111.31779921338281
0,Male,14,47,1.3325328095850464,30.726184178512153,112.65033202296786
0,Male,14,48,1.6878007927908154,30.726184178512153,114.33813281575867
0,Male,14,49,1.5309353750886079,34.16962493238859,115.86906819084727
0,Male,14,50,2.673966005101774,34.16962493238859,118.54303419594905
